id,id2,.metric,.estimator,.estimate,.config,model,response,VNIR_only,nil_only,normalization,derivative,dataset
Repeat3,Fold2,rmse,standard,29.551135670852254,Preprocessor1_Model1,SVM,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat3,Fold2,rsq,standard,1.0000000000000004,Preprocessor1_Model1,SVM,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat3,Fold3,rmse,standard,47.32594034950569,Preprocessor1_Model1,SVM,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat3,Fold3,rsq,standard,NA,Preprocessor1_Model1,SVM,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat3,Fold4,rmse,standard,41.40938477180757,Preprocessor1_Model1,SVM,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat3,Fold4,rsq,standard,1,Preprocessor1_Model1,SVM,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat3,Fold5,rmse,standard,8.65654912056084,Preprocessor1_Model1,SVM,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat3,Fold5,rsq,standard,1,Preprocessor1_Model1,SVM,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat4,Fold1,rmse,standard,25.78282464193357,Preprocessor1_Model1,SVM,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat4,Fold1,rsq,standard,0.0014894325142864578,Preprocessor1_Model1,SVM,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat4,Fold2,rmse,standard,64.84350904070007,Preprocessor1_Model1,SVM,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat4,Fold2,rsq,standard,0.9999999999999998,Preprocessor1_Model1,SVM,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat4,Fold3,rmse,standard,41.634306082306814,Preprocessor1_Model1,SVM,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat4,Fold3,rsq,standard,1,Preprocessor1_Model1,SVM,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat4,Fold4,rmse,standard,56.52761178441061,Preprocessor1_Model1,SVM,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat4,Fold4,rsq,standard,1,Preprocessor1_Model1,SVM,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat4,Fold5,rmse,standard,10.443840741506364,Preprocessor1_Model1,SVM,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat4,Fold5,rsq,standard,1,Preprocessor1_Model1,SVM,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat5,Fold1,rmse,standard,12.786278339414087,Preprocessor1_Model1,SVM,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat5,Fold1,rsq,standard,0.9999354959382409,Preprocessor1_Model1,SVM,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat5,Fold2,rmse,standard,51.28540016907491,Preprocessor1_Model1,SVM,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
